Name,,,remove_sw,augment,do_split,epochs,exp_id,model_name,avg_assigned,f2,precision,recall
SingleRun_Exp_14_exp_10_incorporated,,,FALSE,FALSE,FALSE,20,14,bert-large-uncased,20.72727273,0.932765152,0.864035088,0.951690821
SingleRun_Exp_10,,,FALSE,FALSE,FALSE,20,10,bert-large-uncased,15.04166667,0.86246122,0.770083102,0.8891258
SingleRun_Exp_6,,,FALSE,TRUE,TRUE,20,6,bert-base-uncased,14.02702703,0.846720214,0.731213873,0.881533101
SingleRun_Exp_3,,,FALSE,FALSE,TRUE,20,3,bert-base-uncased,14.16438356,0.845931525,0.735976789,0.878752887
SingleRun_Exp_15,,,FALSE,FALSE,FALSE,20,15,bert-base-uncased,14.12820513,0.845014017,0.765880218,0.867420349
SingleRun_Exp_11,,,FALSE,TRUE,TRUE,20,11,bert-large-uncased,13.1375,0.844919786,0.751665081,0.87196468
SingleRun_Exp_7,,,TRUE,TRUE,TRUE,20,7,bert-base-uncased,14.55405405,0.844084846,0.716805942,0.883295195
SingleRun_Exp_1,,,TRUE,FALSE,FALSE,20,1,bert-base-uncased,14.19480519,0.843621399,0.712717292,0.884222474
SingleRun_Exp_5,,,TRUE,FALSE,TRUE,20,5,bert-base-uncased,14.15584416,0.839852238,0.709174312,0.880410023
SingleRun_Exp_2,,,FALSE,TRUE,FALSE,20,2,bert-base-uncased,14.78082192,0.839753467,0.707136237,0.881062356
SingleRun_Exp_14_exp_6_incorporated,,,FALSE,TRUE,TRUE,20,14,bert-large-uncased,19.07142857,0.826086957,0.640449438,0.890625
SingleRun_Exp_4,,,TRUE,TRUE,FALSE,20,4,bert-base-uncased,14.17567568,0.816145487,0.701620591,0.850867052
SingleRun_Exp_9,,,FALSE,TRUE,TRUE,20,9,roberta-base,13.67346939,0.76340694,0.72238806,0.7744
SingleRun_Exp_12,,,FALSE,FALSE,FALSE,20,12,distilbert-base-uncased,17.04545455,0.757304711,0.677333333,0.780337942
SingleRun_Exp_13,,,FALSE,TRUE,TRUE,20,13,distilbert-base-uncased,15.56603774,0.752085131,0.633939394,0.788838612
SingleRun_Exp_8,,,FALSE,FALSE,FALSE,20,8,roberta-base,16.23404255,0.751967356,0.676277851,0.773613193
